Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
5,1,6,0,0,0,nene,Nenê,38913,Anderson Luis de Carvalho - Luiz,JUV,False,0,286,4,5,,Nenê,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
9,1,7,0,0,0,cassio,Cássio,42234,Cássio Roberto Ramos,CRU,False,0,283,1,8,,Cássio,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
11,1,6,0,0,0,fagner,Fagner,42500,Fagner Conserva Lemos,CRU,False,0,283,2,6,,Fagner,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
13,1,7,0,0,0,titi,Titi,50353,Christian Chagas Tarouco,FOR,False,0,356,3,4,,Titi,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
15,1,7,0,0,0,everton-ribeiro,Everton Ribeiro,51772,Everton Augusto de Barros Ribeiro,BAH,False,0,265,4,11,,E. Ribeiro,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
17,1,6,0,0,0,david-luiz,David Luiz,52827,David Luiz Moreira Marinho,FOR,False,0,356,3,9,,D. Luiz,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
19,1,6,0,0,0,alex-teixeira,Alex Teixeira,60793,Alex Teixeira Santos,VAS,False,0,267,5,4,,A. Teixeira,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
20,1,6,0,0,0,souza,Souza,60803,Josef de Souza Dias,VAS,False,0,267,3,4,,Souza,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
21,1,5,0,0,0,gilberto,Gilberto,61188,Gilberto Oliveira Souza Júnior,JUV,False,0,286,5,6,,Gilberto,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
22,1,7,0,0,0,alex-sandro,Alex Sandro,61987,Alex Sandro Lobo Silva,FLA,False,0,262,2,13,,A. Sandro,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
25,1,7,0,0,0,marcos-rocha,Marcos Rocha,63013,Marcos Luis Rocha Aquino,PAL,False,0,275,2,7,,M. Rocha,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0,0,333869,8,263,4,275,1743361200,26,True,True
26,1,7,0,0,0,alan-ruschel,Alan Ruschel,63110,Alan Luciano Ruschel,JUV,False,0,286,2,5,,A. Ruschel,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
