,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,I,SG,A,FT,G,CV,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,6,130884,16,284,2,6,0.0,6.23,0.0,6.12,False,igor-serrote,Igor Serrote,I. Serrote,Igor Eduardo Schlemper,2,21,4,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.67,53.33, Arena do Grêmio,2025-08-31 20:30:00,,,334073,5,263,14,284,1756683000,26,False,False
1,9,142004,16,284,5,6,0.0,2.46,0.0,4.41,False,amuzu,Amuzu,Amuzu,Francis Amuzu,2,1,4,5,7,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,86.67,53.33, Arena do Grêmio,2025-08-31 20:30:00,,,334073,5,263,14,284,1756683000,26,False,False
2,8,121792,16,284,5,6,0.0,2.63,0.0,3.88,False,andre,André,André,André Henrique da Silva Martins,0,0,2,3,7,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,86.67,53.33, Arena do Grêmio,2025-08-31 20:30:00,,,334073,5,263,14,284,1756683000,26,False,False
3,4,133543,16,264,5,6,0.0,0.7,0.0,1.79,False,gui-negao,Gui Negão,G. Negão,Guilherme William Silva Inácio,2,3,7,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,33.33,Neo Química Arena,2025-07-23 19:30:00,0.0,0.0,334069,1,283,11,264,1753309800,26,True,False
4,10,92085,16,286,5,6,0.0,1.72,0.0,3.2,False,giovanny,Giovanny,Giovanny,Giovanny Bariani Marques,0,3,4,0,5,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,False
5,0,98306,16,287,4,5,0.0,0.0,0.0,3.0,False,val-soares,Val Soares,V. Soares,Valdemir de Oliveira Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,False
6,0,142257,16,284,3,6,0.0,0.0,0.0,2.0,False,luis-eduardo,Luis Eduardo,L. Eduardo,Luis Eduardo Guedes de Souza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,53.33, Arena do Grêmio,2025-08-31 20:30:00,,,334073,5,263,14,284,1756683000,26,False,False
7,6,93879,16,286,1,6,0.0,5.93,0.0,7.5,False,marcao,Marcão,Marcão,Marcos Venicius Santos Miranda - Vinícius,0,0,0,0,0,0,0,1,0,0,0,0,1,0,32,10,0,0,0,0,46.67,20.0,Alfredo Jaconi,2025-07-24 19:00:00,1.0,0.0,334076,12,276,18,286,1753394400,26,True,False
8,10,104134,16,287,5,7,2.2,2.56,0.07,4.37,True,fabri,Fabri,Fabri,Fabrício do Rosário dos Santos,0,8,14,2,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.33,40.0,Barradão,2025-07-23 21:30:00,2.0,2.0,334074,20,292,15,287,1753317000,26,True,False
9,5,72605,16,282,3,6,0.0,5.92,0.0,8.15,False,vitor-hugo,Vitor Hugo,V. Hugo,Vitor Hugo Franchescoli de Souza,0,5,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6.67,46.67, Arena MRV,2025-08-31 20:30:00,,,334072,19,356,9,282,1756683000,26,False,False
10,4,105337,16,354,4,7,0.0,0.7,0.0,3.02,False,lucas-lima,Lucas Lima,L. Lima,Lucas Eduardo Lima da Silva,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,False
11,13,111760,16,280,4,6,0.0,1.38,-0.36,2.59,True,fabinho,Fabinho,Fabinho,Fábio Silva de Freitas,1,6,8,1,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80.0,26.67,Cícero de Souza Marques,2025-07-23 21:30:00,2.0,1.0,334071,2,262,4,280,1753317000,26,True,False
