atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,G,I,A,PS,FT,SG,DE,DP,GS,V,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
8,77664,18,292,4,5,0.0,4.6,0.0,8.59,False,sergio-oliveira,Sérgio Oliveira,S. Oliveira,Sérgio Miguel Relvas de Oliveira,3,14,12,3,6,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
4,133543,18,264,5,6,0.0,0.7,0.0,1.79,False,gui-negao,Gui Negão,G. Negão,Guilherme William Silva Inácio,2,3,7,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,40.0,Neo Química Arena,2025-08-03 16:00:00,1,1,334131,18,356,12,264,1754247600,26,True,False
10,124271,18,285,4,6,0.0,3.28,0.0,5.31,False,gustavo-prado,Gustavo Prado,G. Prado,Gustavo Prado Alves,1,7,3,5,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86.67,66.67,Beira-Rio,2025-08-03 20:30:00,2,1,334138,8,276,13,285,1754263800,26,True,False
0,98306,18,287,4,5,0.0,0.0,0.0,3.0,False,val-soares,Val Soares,V. Soares,Valdemir de Oliveira Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
9,105214,18,263,4,6,0.0,1.7,0.0,4.54,False,santiago-rodriguez,Santiago Rodríguez,S. Rodríguez,Santiago Mariano Rodríguez Molina,1,4,4,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,53.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,2,0,334129,2,283,7,263,1754247600,26,True,False
6,105337,18,354,4,6,1.5,0.72,0.17,2.62,True,lucas-lima,Lucas Lima,L. Lima,Lucas Eduardo Lima da Silva,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,26.67,Castelão (CE),2025-08-03 18:30:00,1,1,334143,1,262,11,354,1754256600,26,True,False
11,104134,18,287,5,7,1.5,2.46,-0.14,4.23,True,fabri,Fabri,Fabri,Fabrício do Rosário dos Santos,0,9,14,2,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
14,89637,18,285,4,7,0.0,3.01,-0.54,5.04,True,thiago-maia,Thiago Maia,T. Maia,Thiago Maia Alencar,1,19,10,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,86.67,66.67,Beira-Rio,2025-08-03 20:30:00,2,1,334138,8,276,13,285,1754263800,26,True,False
16,104027,18,2305,6,7,7.43,5.45,0.45,7.59,True,rafael-guanaes,Rafael Guanaes,R. Guanaes,Rafael Silva Guanaes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,33.33,73.33,Maião,2025-08-02 18:30:00,2,3,334135,17,267,5,2305,1754170200,26,True,False
5,72605,18,282,3,6,0.0,5.92,0.0,8.15,False,vitor-hugo,Vitor Hugo,V. Hugo,Vitor Hugo Franchescoli de Souza,0,5,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6.67,40.0,Arena MRV,2025-08-03 18:30:00,1,2,334137,6,280,10,282,1754256600,26,True,False
11,113687,18,292,4,6,0.0,1.51,0.0,2.61,False,du-queiroz,Du Queiroz,D. Queiroz,Eduardo Santos Queiroz,0,11,11,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
2,107795,18,263,5,6,0.0,0.6,0.0,5.13,False,elias-manoel,Elias Manoel,E. Manoel,Elias Manoel Alves de Paula,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,53.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,2,0,334129,2,283,7,263,1754247600,26,True,False
2,129317,18,287,4,6,0.0,0.45,0.0,1.93,False,felipe-cardoso,Felipe Cardoso,F. Cardoso,Felipe Cardoso,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
1,110632,18,2305,5,6,0.0,-0.6,0.0,2.24,False,luiz-filipe,Luiz Filipe,L. Filipe,Luiz Filipe dos Reis Silva,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Maião,2025-08-02 18:30:00,2,3,334135,17,267,5,2305,1754170200,26,True,False
1,130265,18,263,4,6,0.0,0.7,0.0,1.16,False,kauan-lindes,Kauan Lindes,K. Lindes,Kauan Gabriel Cordeiro Lindes,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,53.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,2,0,334129,2,283,7,263,1754247600,26,True,False
