Unnamed: 0,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,GRE,,8.9,37281,284,10.44,7,0.91,5.18,6,M. Menezes,7,Luis Antônio Venker de Menezes,True,mano-menezes,3,Mano Menezes,,,,,,,,,,,,,,1.0,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
1,CEA,,10.26,37457,354,8.53,7,1.19,6.29,6,L. Condé,7,Leonardo Rodrigues Condé,True,leo-conde,6,Léo Condé,,,,,,,,,,,,,,2.0,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
2,FLU,,4.2,37656,266,9.89,7,-0.19,4.14,1,Fábio,7,Fábio Deivson Lopes Maciel,True,fabio,7,Fábio,,,,,,,,,,20.0,7.0,,2.0,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
3,FLU,,0.0,37715,266,11.19,6,0.0,2.67,3,T. Silva,7,Thiago Emiliano da Silva,False,thiago-silva,3,Thiago Silva,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
4,FLU,,0.0,38398,266,7.0,6,0.0,0.0,4,R. Augusto,7,Renato Soares de Oliveira Augusto,False,renato-augusto,0,Renato Augusto,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
5,JUV,,1.7,38913,286,4.16,6,-0.1,1.07,4,Nenê,7,Anderson Luis de Carvalho - Luiz,True,nene,3,Nenê,,,,1.0,,4.0,,,,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
8,COR,,7.87,40990,264,11.94,7,1.98,7.87,6,D. Júnior,7,Dorival Silvestre Júnior,True,dorival-junior,1,Dorival Júnior,,,,,,,,,,,,,,1.0,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
9,FLU,,7.74,41929,266,10.32,7,0.77,5.82,6,R. Gaúcho,7,Renato Portaluppi,True,renato-gaucho,6,Renato Gaúcho,,,,,,,,,,,,,,4.0,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
11,CRU,,2.9,42234,283,9.43,7,-1.25,5.97,1,Cássio,7,Cássio Roberto Ramos,True,cassio,7,Cássio,,,,,,,,,2.0,26.0,7.0,1.0,2.0,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
13,CRU,,5.4,42500,283,8.04,7,0.0,5.78,2,Fagner,7,Fagner Conserva Lemos,True,fagner,4,Fagner,,10.0,6.0,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
17,BAH,,8.7,51772,265,8.95,7,0.92,4.32,4,E. Ribeiro,7,Everton Augusto de Barros Ribeiro,True,everton-ribeiro,6,Everton Ribeiro,,11.0,5.0,2.0,,9.0,1.0,,1.0,,,,,,,,,1.0,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
21,VAS,,0.0,60793,267,2.76,6,-0.37,0.82,5,A. Teixeira,7,Alex Teixeira Santos,True,alex-teixeira,5,Alex Teixeira,,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
22,VAS,,0.0,60803,267,4.0,6,0.0,0.0,3,Souza,7,Josef de Souza Dias,False,souza,0,Souza,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
23,JUV,,1.9,61188,286,4.57,7,-0.7,1.65,5,Gilberto,7,Gilberto Oliveira Souza Júnior,True,gilberto,4,Gilberto,1.0,,5.0,1.0,,6.0,,1.0,1.0,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
25,FLU,,2.3,62977,266,7.08,7,-0.71,1.26,4,Ganso,7,Paulo Henrique Chagas de Lima,True,ganso,5,Ganso,,2.0,1.0,,2.0,6.0,,,1.0,,,,,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
28,JUV,,2.0,63110,286,6.59,7,-0.55,4.53,2,A. Ruschel,7,Alan Luciano Ruschel,True,alan-ruschel,4,Alan Ruschel,,7.0,1.0,,,6.0,,1.0,,,,,1.0,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
29,GRE,,2.5,63289,284,4.97,7,-0.01,1.75,4,Edenílson,7,Edenílson Andrade dos Santos,True,edenilson,7,Edenílson,,3.0,5.0,,1.0,7.0,1.0,,3.0,,,,,,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
31,CRU,,1.0,68708,283,3.55,6,0.0,0.4,4,Eduardo,7,Carlos Eduardo de Oliveira Alves,True,eduardo,6,Eduardo,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
32,SAO,,0.0,68811,276,20.0,5,0.0,0.0,4,Oscar,7,Oscar dos Santos Emboaba Júnior,False,oscar,0,Oscar,,,,,,,,,,,,,,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
34,VAS,,0.0,68899,267,11.36,7,0.0,3.87,4,P. Coutinho,7,Philippe Coutinho Correia,False,philippe-coutinho,4,Philippe Coutinho,1.0,,3.0,3.0,6.0,6.0,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
37,SAO,,0.0,68928,276,10.17,7,0.0,4.9,1,Rafael,7,Rafael Pires Monteiro,False,rafael,6,Rafael,,,,,,4.0,,,1.0,18.0,5.0,,2.0,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
40,BAH,,3.8,68996,265,7.29,7,-0.4,1.94,5,W. José,7,Willian José da Silva,True,willian-jose,5,Willian José,,,2.0,1.0,2.0,3.0,,,,,,,,,2.0,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
41,FLU,,0.0,69014,266,5.0,6,0.0,0.0,3,Manoel,7,Manoel Messias Silva Carvalho,False,manoel,0,Manoel,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
42,BAH,,0.0,69051,265,4.0,6,0.0,0.0,1,D. Fernandes,7,Danilo Fernandes Batista,False,danilo-fernandes,0,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
46,SAO,,0.0,70164,276,5.0,2,0.0,0.0,4,L. Moura,7,Lucas Rodrigues Moura da Silva,False,lucas-moura,0,Lucas Moura,,,,,,,,,,,,,,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
