atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
1,7,0.0,0.0,0.0,lucas-moura,Lucas Moura,70164,Lucas Rodrigues Moura da Silva,SAO,False,0,276,4,5.0,,L. Moura,6.67,26.67,Morumbis,2025-03-29 18:30:00,0.0,0.0,333870,20,292,14,276,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,2,0.0,0.0,0.0,danilo,Danilo,69783,Danilo Luiz da Silva,FLA,False,0,262,3,13.0,,Danilo,20.0,73.33,Maracanã,2025-03-29 21:00:00,1.0,1.0,333867,17,285,1,262,1743292800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,danilo-fernandes,Danilo Fernandes,69051,Danilo Fernandes Batista,BAH,False,0,265,1,4.0,,D. Fernandes,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1.0,1.0,333874,10,264,5,265,1743375600,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,willian-jose,Willian José,68996,Willian José da Silva,BAH,False,0,265,5,11.0,,W. José,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1.0,1.0,333874,10,264,5,265,1743375600,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,lucas-sasha,Lucas Sasha,68991,Lucas Pacheco Affini,FOR,False,0,356,4,4.0,,L. Sasha,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0.0,2.0,333875,6,266,18,356,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,mauricio-lemos,Mauricio Lemos,87853,Paolo Mauricio Lemos Merladett,VAS,False,0,267,3,6.0,,M. Lemos,46.67,46.67,São Januário,2025-03-30 18:30:00,1.0,2.0,333868,15,277,13,267,1743370200,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,yago-felipe,Yago Felipe,87747,Yago Felipe da Costa Rocha,BAH,False,0,265,4,5.0,,Y. Felipe,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1.0,1.0,333874,10,264,5,265,1743375600,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,kannemann,Kannemann,87342,Walter Kannemann,GRE,False,0,284,3,5.0,,Kannemann,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1.0,2.0,333873,7,282,11,284,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,7,0.0,0.0,0.0,pedro-henrique,Pedro Henrique,87225,Pedro Henrique Ribeiro Gonçalves,RBB,False,0,280,3,7.0,,P. Henrique,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2.0,2.0,333871,12,354,3,280,1743462000,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,0.0,nathan,Nathan,87009,Nathan Allan de Souza,GRE,False,0,284,4,4.0,,Nathan,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1.0,2.0,333873,7,282,11,284,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
