atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC,media_CA_5_rodadas,media_DS_5_rodadas,media_FC_5_rodadas,media_FF_5_rodadas,media_FS_5_rodadas,media_I_5_rodadas,media_SG_5_rodadas,media_FD_5_rodadas,media_A_5_rodadas,media_G_5_rodadas,media_CV_5_rodadas,media_FT_5_rodadas,media_PC_5_rodadas,media_PS_5_rodadas,media_DE_5_rodadas,media_GS_5_rodadas,media_V_5_rodadas,media_DP_5_rodadas,media_PP_5_rodadas,media_GC_5_rodadas
70696,8.59593796000136,17,7,,0.36,5.36,fabio-carille,Fábio Carille,Fábio Luiz Carille de Araújo,,True,9,287,6,9.18,,F. Carille,40.0,86.67,Maião,2025-07-26 18:30:00,,,334101,15,287,7,2305,1753565400,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0
87863,8.49396851575256,17,7,,1.46,9.83,arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,,True,13,262,4,19.65,,Arrascaeta,46.67,80.0,Maracanã,2025-07-27 20:30:00,,,334097,9,282,2,262,1753659000,26,True,False,5.0,1.0,9.0,6.0,2.0,5.0,18.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,6.4,5.2,4.2,15.2,2.0,0.0,1.8,4.2,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
99267,8.069955099786169,17,7,,0.0,6.09,pochettino,Pochettino,Tomás Pochettino,,False,8,356,4,11.54,,Pochettino,26.67,6.67,Castelão (CE),2025-07-26 18:30:00,,,334105,4,280,19,356,1753565400,26,True,False,1.0,0.0,14.0,4.0,6.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2.6,7.2,4.4,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104118,7.900023439356815,17,7,,0.08,5.63,lucas-arcanjo,Lucas Arcanjo,Lucas Willians Assis Arcanjo,,True,15,287,1,9.04,,L. Arcanjo,40.0,86.67,Maião,2025-07-26 18:30:00,,,334101,15,287,7,2305,1753565400,26,True,True,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,62.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,13.2,0.0,0.0,0.0,0.0
40990,7.758221737944398,17,7,,0.34,5.15,dorival-junior,Dorival Júnior,Dorival Silvestre Júnior,,True,10,264,6,10.43,,D. Júnior,33.33,86.67,Nilton Santos (Engenhão),2025-07-26 18:30:00,,,334098,11,264,5,263,1753565400,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
110818,7.7058134424201,17,7,,0.0,5.97,renato-paiva,Renato Paiva,Renato Manuel Alves Paiva,,False,11,356,6,9.22,,R. Paiva,26.67,6.67,Castelão (CE),2025-07-26 18:30:00,,,334105,4,280,19,356,1753565400,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
101574,7.655098400118284,17,7,,1.69,4.31,hugo-souza,Hugo Souza,Hugo de Souza Nogueira,,True,11,264,1,9.58,,H. Souza,33.33,86.67,Nilton Santos (Engenhão),2025-07-26 18:30:00,,,334098,11,264,5,263,1753565400,26,True,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,11.4,0.0,0.0,0.0,0.0
96353,7.406262280554128,17,7,,0.0,1.73,joaquin-correa,Joaquín Correa,Carlos Joaquín Correa,,False,3,263,5,11.34,,J. Correa,33.33,86.67,Nilton Santos (Engenhão),2025-07-26 18:30:00,,,334098,11,264,5,263,1753565400,26,True,False,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.4,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117632,7.175185110140837,17,3,,0.09,3.45,garro,Garro,Rodrigo Garro,,True,6,264,4,15.11,,Garro,33.33,86.67,Nilton Santos (Engenhão),2025-07-26 18:30:00,,,334098,11,264,5,263,1753565400,26,True,True,0.0,3.0,4.0,6.0,2.0,2.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.4,2.0,1.8,10.0,0.0,0.0,1.2,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101727,7.118974965523824,17,7,,-0.24,5.58,matheuzinho,Matheuzinho,Matheus França Silva,,True,12,264,2,10.45,,Matheuzinho,33.33,86.67,Nilton Santos (Engenhão),2025-07-26 18:30:00,,,334098,11,264,5,263,1753565400,26,True,True,0.0,6.0,29.0,9.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.4,27.8,8.4,3.0,5.4,0.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84735,6.911762096505689,17,7,,-0.77,1.17,jorginho,Jorginho,Jorge Luiz Frello Filho,,True,4,262,4,8.47,,Jorginho,46.67,80.0,Maracanã,2025-07-27 20:30:00,,,334097,9,282,2,262,1753659000,26,True,False,0.0,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,2.8,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126977,6.798935727154144,17,7,,0.32,5.99,fernando-seabra,Fernando Seabra,Fernando Seabra,,True,16,280,6,9.29,,F. Seabra,26.67,6.67,Castelão (CE),2025-07-26 18:30:00,,,334105,4,280,19,356,1753565400,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0
115248,6.7211701067328935,17,7,,0.8,4.36,jhon-jhon,Jhon Jhon,Jhonatan dos Santos Rosa,,True,15,280,4,8.08,,J. Jhon,26.67,6.67,Castelão (CE),2025-07-26 18:30:00,,,334105,4,280,19,356,1753565400,26,True,True,2.0,2.0,9.0,11.0,5.0,8.0,32.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,8.0,7.2,27.8,1.0,0.0,3.8,1.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111309,6.7198718793971,17,7,,0.0,6.88,gustavo-martins,Gustavo Martins,Gustavo Martins de Souza Santos,,False,5,284,3,10.16,,G. Martins,53.33,46.67,Allianz Parque,2025-07-26 21:00:00,,,334099,14,284,3,275,1753574400,26,True,True,0.0,1.0,10.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.8,6.2,0.4,0.4,1.0,2.0,3.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
