atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
104118,9.39733999999998,15,7,,2.07,5.37,lucas-arcanjo,Lucas Arcanjo,Lucas Willians Assis Arcanjo,,True,13,287,1,9.71,,L. Arcanjo,66.67,20.0,Barradão,2025-07-20 16:00:00,,,334034,3,280,17,287,1753038000,26,True,False,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
117632,8.616509999999993,15,7,,-2.53,3.25,garro,Garro,Rodrigo Garro,,True,4,264,4,16.72,,Garro,40.0,6.67,Morumbis,2025-07-19 21:00:00,,,334030,9,264,16,276,1752969600,26,True,True,0.0,1.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102975,8.391399999999962,15,7,,1.12,6.37,escobar,Escobar,Gonzalo Daniel Escobar,,True,12,277,2,10.16,,Escobar,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,0.0,1.0,42.0,20.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
87863,8.362469999999968,15,7,,-0.88,10.55,arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,,True,11,262,4,18.63,,Arrascaeta,46.67,66.67,Maracanã,2025-07-20 19:30:00,,,334027,7,266,2,262,1753050600,26,True,False,4.0,1.0,6.0,6.0,2.0,4.0,15.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
107093,8.351599999999959,15,7,,0.0,6.44,luciano-juba,Luciano Juba,Luciano Batista da Silva Júnior,,False,13,265,2,10.24,,L. Juba,80.0,0.0,Castelão (CE),2025-07-19 16:00:00,,,334037,4,265,19,356,1752951600,26,True,True,3.0,1.0,14.0,10.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
104758,8.339539999999962,15,7,,1.2,4.7,enzo-diaz,Enzo Díaz,Enzo Hernán Díaz,,True,13,276,2,8.8,,E. Díaz,40.0,6.67,Morumbis,2025-07-19 21:00:00,,,334030,9,264,16,276,1752969600,26,True,False,1.0,3.0,33.0,27.0,1.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
63007,8.136349999999986,15,7,,0.63,3.24,neymar,Neymar,Neymar da Silva Santos Júnior,,True,5,277,4,16.37,,Neymar,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,0.0,1.0,0.0,8.0,4.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103445,8.111129999999994,15,7,,-1.82,12.09,kaio-jorge,Kaio Jorge,Kaio Jorge Pinto Ramos,,True,13,283,5,16.67,,K. Jorge,26.67,86.67,Mineirão,2025-07-20 16:00:00,,,334032,18,286,1,283,1753038000,26,True,False,2.0,2.0,14.0,9.0,8.0,14.0,17.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37715,8.111019999999955,15,7,,0.34,2.72,thiago-silva,Thiago Silva,Thiago Emiliano da Silva,,True,8,266,3,9.21,,T. Silva,46.67,66.67,Maracanã,2025-07-20 19:30:00,,,334027,7,266,2,262,1753050600,26,True,True,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
130811,8.108579999999945,15,7,,1.67,8.25,souza,Souza,João Victor de Souza Menezes,,True,4,277,2,9.36,,Souza,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,1.0,0.0,11.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
