atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC,media_CA_5_rodadas,media_DS_5_rodadas,media_FC_5_rodadas,media_FF_5_rodadas,media_FS_5_rodadas,media_I_5_rodadas,media_SG_5_rodadas,media_FD_5_rodadas,media_A_5_rodadas,media_G_5_rodadas,media_CV_5_rodadas,media_FT_5_rodadas,media_PC_5_rodadas,media_PS_5_rodadas,media_DE_5_rodadas,media_GS_5_rodadas,media_V_5_rodadas,media_DP_5_rodadas,media_PP_5_rodadas,media_GC_5_rodadas
117632,11.069437858712174,16,7,,-1.7,3.08,garro,Garro,Rodrigo Garro,,True,5,264,4,15.02,,Garro,73.33,33.33,Neo Química Arena,2025-07-23 19:30:00,,,334069,1,283,10,264,1753309800,26,True,False,0.0,2.0,1.0,2.0,2.0,2.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.75,1.0,1.6,6.6,0.0,0.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103445,7.476540213363257,16,7,,0.62,12.2,kaio-jorge,Kaio Jorge,Kaio Jorge Pinto Ramos,,True,14,283,5,17.29,,K. Jorge,73.33,33.33,Neo Química Arena,2025-07-23 19:30:00,,,334069,1,283,10,264,1753309800,26,True,True,4.0,2.0,15.0,11.0,9.0,14.0,18.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,14.2,8.4,13.0,16.8,4.8,0.0,7.2,2.4,10.2,0.0,2.8,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0
110506,7.24391454971753,16,7,,0.33,6.34,abel-ferreira,Abel Ferreira,Abel Fernando Moreira Ferreira,,True,13,275,6,12.47,,A. Ferreira,33.33,46.67,Maracanã,2025-07-23 19:00:00,,,334067,4,275,8,266,1753308000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0
104118,7.156409820990669,16,7,,-0.75,5.53,lucas-arcanjo,Lucas Arcanjo,Lucas Willians Assis Arcanjo,,True,14,287,1,8.96,,L. Arcanjo,13.33,40.0,Barradão,2025-07-23 21:30:00,,,334074,20,292,15,287,1753317000,26,True,False,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,12.6,0.0,0.0,0.0,0.0
101027,6.782943610826769,16,7,,-0.02,6.73,diego,Diego,Jackson Diego Ibraim Fagundes - Ibrahim,,True,12,354,2,10.18,,Diego,73.33,26.67,Castelão (CE),2025-07-23 19:00:00,,,334075,7,2305,11,354,1753308000,26,True,False,2.0,2.0,19.0,7.0,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.4,16.4,5.2,1.4,30.2,0.0,4.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78850,6.714286724026907,16,7,,2.18,7.84,reinaldo,Reinaldo,Reinaldo Manoel da Silva,,True,13,2305,2,11.34,,Reinaldo,73.33,26.67,Castelão (CE),2025-07-23 19:00:00,,,334075,7,2305,11,354,1753308000,26,True,True,2.0,2.0,11.0,9.0,4.0,4.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,10.2,8.4,4.0,8.0,0.0,2.2,4.0,2.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87863,6.637505129515058,16,7,,-0.44,9.71,arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,,True,12,262,4,18.19,,Arrascaeta,66.67,33.33,Cícero de Souza Marques,2025-07-23 21:30:00,,,334071,2,262,3,280,1753317000,26,True,True,4.0,1.0,6.0,6.0,2.0,4.0,16.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,5.6,4.6,4.0,14.2,2.0,0.0,1.6,4.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
40990,6.493875391776361,16,7,,-1.03,5.17,dorival-junior,Dorival Júnior,Dorival Silvestre Júnior,,True,9,264,6,10.09,,D. Júnior,73.33,33.33,Neo Química Arena,2025-07-23 19:30:00,,,334069,1,283,10,264,1753309800,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0
70696,6.436768946882166,16,7,,0.39,5.09,fabio-carille,Fábio Carille,Fábio Luiz Carille de Araújo,,True,8,287,6,8.82,,F. Carille,13.33,40.0,Barradão,2025-07-23 21:30:00,,,334074,20,292,15,287,1753317000,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0
84735,6.389646610719927,16,7,,-0.97,0.93,jorginho,Jorginho,Jorge Luiz Frello Filho,,True,3,262,4,9.24,,Jorginho,66.67,33.33,Cícero de Souza Marques,2025-07-23 21:30:00,,,334071,2,262,3,280,1753317000,26,True,True,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
