atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
1,6,0.0,0.0,,patryck,Patryck,106829,Patryck Lanza dos Reis,SAO,False,0,276,2,4.0,,Patryck,6.67,26.67,Morumbis,2025-03-29 18:30:00,0.0,0.0,333870,20,292,14,276,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,borrero,Borrero,106843,Dylan Felipe Borrero Caicedo,FOR,False,0,356,5,5.0,,Borrero,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0.0,2.0,333875,6,266,18,356,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,7,0.0,0.0,,luciano-juba,Luciano Juba,107093,Luciano Batista da Silva Júnior,BAH,False,0,265,2,5.0,,L. Juba,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1.0,1.0,333874,10,264,5,265,1743375600,26,True,True,,,,,,,,,,,,,,,,,,,,
1,7,0.0,0.0,,richard-rios,Richard Ríos,107111,Richard Ríos Montoya,PAL,False,0,275,4,10.0,,R. Ríos,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0.0,0.0,333869,8,263,4,275,1743361200,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,michel-araujo,Michel Araújo,107173,Michel Daryl Araújo Villar,BAH,False,0,265,4,6.0,,M. Araújo,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1.0,1.0,333874,10,264,5,265,1743375600,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,rodriguinho,Rodriguinho,118563,Rodrigo Huendra Almeida Mendonça,SAO,False,0,276,4,3.0,,Rodriguinho,6.67,26.67,Morumbis,2025-03-29 18:30:00,0.0,0.0,333870,20,292,14,276,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,2,0.0,0.0,,mateus-carvalho,Mateus Carvalho,118752,Mateus Carvalho dos Santos,VAS,False,0,267,4,5.0,,M. Carvalho,46.67,46.67,São Januário,2025-03-30 18:30:00,1.0,2.0,333868,15,277,13,267,1743370200,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,lautaro-diaz,Lautaro Díaz,118775,Lautaro Ariel Díaz,CRU,False,0,283,5,6.0,,L. Díaz,66.67,73.33,Mineirão,2025-03-29 18:30:00,1.0,2.0,333872,9,2305,2,283,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,paulinho-silva,Paulinho Silva,121766,Paulo Ricardo de Souza Babilônia,VAS,False,0,267,2,2.0,,P. Silva,46.67,46.67,São Januário,2025-03-30 18:30:00,1.0,2.0,333868,15,277,13,267,1743370200,26,True,True,,,,,,,,,,,,,,,,,,,,
1,6,0.0,0.0,,andre,André,121792,André Henrique da Silva Martins,GRE,False,0,284,5,3.0,,André,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1.0,2.0,333873,7,282,11,284,1743283800,26,True,True,,,,,,,,,,,,,,,,,,,,
