,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,DS,FC,FS,FD,FF,I,SG,CA,G,DE,GS,PC,FT,CV,A,DP,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,1,90449,13,265,4,6,0.0,3.9,0.0,4.16,False,rezende,Rezende,Rezende,Júlio César de Rezende Miranda,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
1,5,97868,13,265,2,6,0.0,2.66,0.0,4.39,False,iago,Iago,Iago,Iago Amaral Borduchi,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
2,3,105373,13,265,3,6,0.0,1.53,0.0,5.47,False,gabriel-xavier,Gabriel Xavier,G. Xavier,Gabriel Lheman Xavier - Lhman,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
3,2,98484,13,265,3,5,0.0,2.85,0.0,4.58,False,kanu,Kanu,Kanu,Victor Hugo Soares dos Santos,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
4,5,71701,13,265,2,6,0.0,1.84,0.0,6.17,False,santiago-arias,Santiago Arias,S. Arias,Santiago Arias Naranjo,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
5,11,80313,13,265,2,6,3.1,4.12,-0.56,7.57,True,gilberto,Gilberto,Gilberto,Gilberto Moraes Júnior,14,9,5,1,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
6,10,85004,13,265,1,6,1.3,4.76,-0.98,7.43,True,marcos-felipe,Marcos Felipe,M. Felipe,Marcos Felipe de Freitas Monteiro,0,0,3,0,0,0,4,0,0,27,8,1,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
7,8,98022,13,265,4,5,0.0,3.53,0.0,8.32,False,erick,Erick,Erick,Erick Luis Conrado de Carvalho,14,12,3,0,2,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
8,10,91772,13,265,3,6,-0.3,2.64,-0.77,4.49,True,david-duarte,David Duarte,D. Duarte,David de Duarte Macedo,3,8,6,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
9,11,98517,13,265,4,6,8.6,3.08,0.91,6.3,True,jean-lucas,Jean Lucas,J. Lucas,Jean Lucas de Souza Oliveira,19,10,9,1,6,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
10,5,106822,13,265,4,6,0.0,3.32,0.0,6.48,False,rodrigo-nestor,Rodrigo Nestor,R. Nestor,Rodrigo Nestor Bertalia,9,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
11,0,103662,13,265,1,6,0.0,0.0,0.0,3.0,False,denis-junior,Dênis Júnior,D. Júnior,Dênis de Oliveira Aguiar Júnior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
12,0,69051,13,265,1,6,0.0,0.0,0.0,4.0,False,danilo-fernandes,Danilo Fernandes,D. Fernandes,Danilo Fernandes Batista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
13,10,101314,13,265,5,6,4.8,2.46,0.25,5.0,True,ademir,Ademir,Ademir,Ademir da Silva Santos Júnior,9,10,19,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
14,13,107093,13,265,2,6,10.1,6.44,-0.08,10.24,True,luciano-juba,Luciano Juba,L. Juba,Luciano Batista da Silva Júnior,14,10,3,2,5,1,4,1,3,0,0,0,0,0,3,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
15,13,105990,13,265,3,6,2.3,2.71,-0.29,4.6,True,santiago-mingo,Santiago Mingo,S. Mingo,Santiago Martín Ramos Mingo,10,16,8,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
16,11,106323,13,265,4,6,1.4,2.51,-0.18,5.29,True,caio-alexandre,Caio Alexandre,C. Alexandre,Caio Alexandre Souza e Silva,17,22,9,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
17,8,87747,13,2305,4,2,0.0,2.17,0.0,5.17,False,yago-felipe,Yago Felipe,Y. Felipe,Yago Felipe da Costa Rocha,7,4,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,False
18,0,122300,13,265,2,6,0.0,0.0,0.0,2.0,False,ryan,Ryan,Ryan,Ryan Carlos Santos de Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
19,13,109401,13,265,5,6,3.7,7.13,-0.55,9.55,True,erick-pulga,Erick Pulga,E. Pulga,Erick da Costa Farias,23,10,28,4,16,3,0,1,2,0,0,0,0,0,3,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
20,0,139000,13,262,5,6,0.0,0.0,0.0,2.0,False,felipe-teresa,Felipe Teresa,F. Teresa,Felipe Gabriel Cunha Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,False
21,8,111829,13,265,5,6,0.0,1.51,-0.26,2.75,True,kayky,Kayky,Kayky,Kayky da Silva Chagas,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
22,8,104783,13,265,4,6,0.0,2.16,-0.54,4.13,True,acevedo,Acevedo,Acevedo,Nicolás Brian Acevedo Tabárez,11,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
23,6,107173,13,265,4,6,7.0,4.72,0.07,7.43,True,michel-araujo,Michel Araújo,M. Araújo,Michel Daryl Araújo Villar,4,5,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
24,2,133543,13,264,5,6,-1.3,-0.55,-0.59,1.28,True,gui-negao,Gui Negão,G. Negão,Guilherme William Silva Inácio,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,False
25,0,123717,13,265,2,6,0.0,0.0,0.0,3.0,False,ze-guilherme,Zé Guilherme,Z. Guilherme,José Guilherme de Lima Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,False
