,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DE,DP,FS,GS,SG,DS,FC,FF,I,CV,FD,FT,PC,G,A,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,12,71631,14,275,1,7,-1.0,4.9,-0.19,8.11,True,weverton,Weverton,Weverton,Weverton Pereira da Silva,1,26,1,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
1,13,105990,14,265,3,7,0.0,2.71,0.0,4.6,False,santiago-mingo,Santiago Mingo,S. Mingo,Santiago Martín Ramos Mingo,2,0,0,8,0,4,10,16,4,2,0,0,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
2,11,98517,14,265,4,3,0.0,3.08,0.0,6.3,False,jean-lucas,Jean Lucas,J. Lucas,Jean Lucas de Souza Oliveira,1,0,0,9,0,0,19,10,6,1,1,1,1,1,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
3,10,101314,14,265,5,7,0.0,2.46,0.0,5.0,False,ademir,Ademir,Ademir,Ademir da Silva Santos Júnior,2,0,0,19,0,0,9,10,4,2,0,3,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
4,1,90449,14,265,4,6,0.0,3.9,0.0,4.16,False,rezende,Rezende,Rezende,Júlio César de Rezende Miranda,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
5,10,85004,14,265,1,7,0.0,4.76,0.0,7.43,False,marcos-felipe,Marcos Felipe,M. Felipe,Marcos Felipe de Freitas Monteiro,0,27,0,3,8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
6,8,98022,14,265,4,5,0.0,3.53,0.0,8.32,False,erick,Erick,Erick,Erick Luis Conrado de Carvalho,3,0,0,3,0,0,14,12,2,2,0,0,1,0,1,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
7,3,105373,14,265,3,7,0.0,1.53,0.0,5.47,False,gabriel-xavier,Gabriel Xavier,G. Xavier,Gabriel Lheman Xavier - Lhman,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
8,5,97868,14,265,2,6,0.0,2.66,0.0,4.39,False,iago,Iago,Iago,Iago Amaral Borduchi,0,0,0,2,0,1,4,2,1,1,0,1,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
9,10,91772,14,265,3,6,0.0,2.64,0.0,4.49,False,david-duarte,David Duarte,D. Duarte,David de Duarte Macedo,1,0,0,6,0,4,3,8,3,1,0,0,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
10,13,107093,14,265,2,7,0.0,6.44,0.0,10.24,False,luciano-juba,Luciano Juba,L. Juba,Luciano Batista da Silva Júnior,1,0,0,3,0,4,14,10,5,1,0,2,0,0,3,3,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
11,13,109401,14,265,5,7,0.0,7.13,0.0,9.55,False,erick-pulga,Erick Pulga,E. Pulga,Erick da Costa Farias,1,0,0,28,0,0,23,10,16,3,0,4,0,0,2,3,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
12,5,106822,14,265,4,6,0.0,3.32,0.0,6.48,False,rodrigo-nestor,Rodrigo Nestor,R. Nestor,Rodrigo Nestor Bertalia,0,0,0,3,0,0,9,4,2,0,0,1,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
