,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,15,109401,17,265,5,7,1.2,6.55,-0.47,9.17,True,erick-pulga,Erick Pulga,E. Pulga,Erick da Costa Farias,3,2,24,12,5,19,32,2,3,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
1,15,107093,17,265,2,7,6.7,6.13,0.78,9.87,True,luciano-juba,Luciano Juba,L. Juba,Luciano Batista da Silva Júnior,3,1,15,11,2,7,4,3,1,5,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
2,12,101314,17,265,5,7,7.2,3.08,0.53,5.75,True,ademir,Ademir,Ademir,Ademir da Silva Santos Júnior,1,2,11,11,3,7,24,0,4,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
3,13,98517,17,265,4,7,17.7,4.32,2.39,8.29,True,jean-lucas,Jean Lucas,J. Lucas,Jean Lucas de Souza Oliveira,0,1,22,15,2,6,13,2,1,0,1,1,1,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
4,14,105990,17,265,3,7,0.0,2.64,0.0,4.52,False,santiago-mingo,Santiago Mingo,S. Mingo,Santiago Martín Ramos Mingo,0,3,12,17,0,4,8,0,2,4,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
5,0,103662,17,265,1,6,0.0,0.0,0.0,3.0,False,denis-junior,Dênis Júnior,D. Júnior,Dênis de Oliveira Aguiar Júnior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
6,8,107173,17,265,4,6,-0.3,3.46,-0.25,6.01,True,michel-araujo,Michel Araújo,M. Araújo,Michel Daryl Araújo Villar,0,1,4,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
7,2,98484,17,265,3,5,0.0,2.85,0.0,4.58,False,kanu,Kanu,Kanu,Victor Hugo Soares dos Santos,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
8,13,106323,17,265,4,7,2.4,2.52,-0.01,5.45,True,caio-alexandre,Caio Alexandre,C. Alexandre,Caio Alexandre Souza e Silva,1,4,18,25,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
9,10,104783,17,265,4,6,3.6,2.24,0.37,4.65,True,acevedo,Acevedo,Acevedo,Nicolás Brian Acevedo Tabárez,0,1,14,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,86.67,Casa de Apostas Arena Fonte Nova,2025-07-27 18:30:00,0,3,334104,19,286,4,265,1753651800,26,True,False
