Unnamed: 0,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
1,6,6.09,,37457,6,354,CEA,9,2.78,L. Condé,True,Léo Condé,11,7.96,leo-conde,-0.85,Leonardo Rodrigues Condé,,,,,,,,,,,,,,,,,,3.0,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
4,4,1.67,,38913,6,286,JUV,6,3.0,Nenê,True,Nenê,11,4.0,nene,0.18,Anderson Luis de Carvalho - Luiz,,2.0,1.0,9.0,,1.0,2.0,,,,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
7,6,5.67,,40990,7,264,COR,5,5.69,D. Júnior,True,Dorival Júnior,11,10.8,dorival-junior,-0.39,Dorival Silvestre Júnior,,,,,,,,,,,,,,,,,,2.0,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
10,1,6.49,,42234,7,283,CRU,11,4.2,Cássio,True,Cássio,11,10.11,cassio,-0.48,Cássio Roberto Ramos,2.0,,,,5.0,,,,,,,,38.0,1.0,8.0,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
12,2,6.67,,42500,7,283,CRU,6,0.0,Fagner,False,Fagner,11,9.39,fagner,0.0,Fagner Conserva Lemos,1.0,14.0,9.0,4.0,4.0,,1.0,1.0,,,,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
13,3,0.0,,50317,6,2305,MIR,0,0.0,D. Braz,False,David Braz,11,5.0,david-braz,0.0,David Braz de Oliveira Filho,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
15,1,8.16,,51413,6,2305,MIR,5,10.7,Walter,True,Walter,11,10.62,walter,0.75,Walter Leandro Capeloza Artune,1.0,,,1.0,2.0,,,,,,,,21.0,1.0,3.0,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
16,4,3.43,,51772,7,265,BAH,10,4.4,E. Ribeiro,True,Everton Ribeiro,11,7.75,everton-ribeiro,0.56,Everton Augusto de Barros Ribeiro,2.0,15.0,8.0,15.0,,3.0,,,1.0,,,1.0,,,,,,,,,26.67,66.67,Casa de Apostas Arena Fonte Nova,2025-05-31 18:30:00,1,2,333894,14,276,5,265,1748727000,26,True,True
17,4,2.75,,52271,5,285,INT,6,0.0,Fernando,True,Fernando,11,5.95,fernando,-0.59,Fernando Francisco Reges,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
19,5,0.0,,53865,6,2305,MIR,0,0.0,L. Gamalho,False,Léo Gamalho,11,4.0,leo-gamalho,0.0,Leonardo Gamalho de Souza,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
