Unnamed: 0,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
1,True,Fábio Deivson Lopes Maciel,fabio,11.27,,37656,0.12,6.3,3,Fábio,1,266,3.7,7,3,FLU,Fábio,,,,,,,,,1.0,7.0,3.0,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
2,True,Thiago Emiliano da Silva,thiago-silva,11.19,,37715,-0.12,5.2,3,Thiago Silva,3,266,2.67,5,3,FLU,T. Silva,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
3,False,Renato Soares de Oliveira Augusto,renato-augusto,7.0,,38398,0.0,0.0,3,Renato Augusto,4,266,0.0,6,0,FLU,R. Augusto,,,,,,,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
4,False,Anderson Luis de Carvalho - Luiz,nene,4.53,,38913,0.0,0.0,3,Nenê,4,286,1.0,6,1,JUV,Nenê,,,,,2.0,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,True
5,True,Givanildo Vieira de Souza,hulk,18.24,,39148,-0.85,5.5,3,Hulk,5,282,4.47,7,3,CAM,Hulk,,2.0,6.0,5.0,6.0,2.0,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,True
6,False,Alan Steven Franco Palma,alan-franco,5.46,,39656,0.0,0.0,3,Alan Franco,4,282,0.95,5,2,CAM,A. Franco,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,True
7,True,Renato Portaluppi,renato-gaucho,10.45,,41929,0.86,7.41,3,Renato Gaúcho,6,266,6.56,7,2,FLU,R. Gaúcho,,,,,,,,,,,,,,2.0,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
10,True,Alexi Stival,cuca,9.85,,42411,-0.03,4.97,3,Cuca,6,282,5.1,7,3,CAM,Cuca,,,,,,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,True
13,False,Christian Chagas Tarouco,titi,5.88,,50353,0.0,0.0,3,Titi,3,356,5.45,7,2,FOR,Titi,4.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,True
15,True,Everton Augusto de Barros Ribeiro,everton-ribeiro,8.12,,51772,-0.67,0.9,3,Everton Ribeiro,4,265,0.15,7,2,BAH,E. Ribeiro,2.0,4.0,,,3.0,,,,,,,1.0,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,True
17,True,David Luiz Moreira Marinho,david-luiz,9.3,,52827,1.62,9.5,3,David Luiz,3,356,4.73,6,3,FOR,D. Luiz,3.0,2.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,True
19,True,Alex Teixeira Santos,alex-teixeira,3.7,,60793,-0.07,1.4,3,Alex Teixeira,5,267,1.3,6,2,VAS,A. Teixeira,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,True
20,False,Josef de Souza Dias,souza,4.0,,60803,0.0,0.0,3,Souza,3,267,0.0,6,0,VAS,Souza,,,,,,,,,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,True
21,False,Gilberto Oliveira Souza Júnior,gilberto,6.0,,61188,0.0,0.0,3,Gilberto,5,286,0.0,5,0,JUV,Gilberto,,,,,,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,True
23,True,Paulo Henrique Chagas de Lima,ganso,9.25,,62977,-1.23,0.0,3,Ganso,4,266,0.65,2,2,FLU,Ganso,,,,1.0,1.0,,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
25,False,Marcos Luis Rocha Aquino,marcos-rocha,7.0,,63013,0.0,0.0,3,Marcos Rocha,2,275,0.0,2,0,PAL,M. Rocha,,,,,,,,,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,True
26,False,Alan Luciano Ruschel,alan-ruschel,6.58,,63110,0.0,0.0,3,Alan Ruschel,2,286,5.55,7,2,JUV,A. Ruschel,4.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,True
27,True,Edenílson Andrade dos Santos,edenilson,5.78,,63289,-0.91,-1.3,3,Edenílson,4,284,2.47,7,3,GRE,Edenílson,,3.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,True
30,False,Oscar dos Santos Emboaba Júnior,oscar,20.0,,68811,0.0,0.0,3,Oscar,4,276,0.0,5,0,SAO,Oscar,,,,,,,,,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,True
31,False,Marcelo Lomba do Nascimento,marcelo-lomba,7.0,,68872,0.0,0.0,3,Marcelo Lomba,1,275,0.0,6,0,PAL,M. Lomba,,,,,,,,,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,True
32,True,Philippe Coutinho Correia,philippe-coutinho,13.23,,68899,0.55,7.0,3,Philippe Coutinho,4,267,5.25,6,2,VAS,P. Coutinho,,1.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,True
35,True,Rafael Pires Monteiro,rafael,11.83,,68928,-1.78,0.8,3,Rafael,1,276,7.4,7,3,SAO,Rafael,,,,,3.0,,,,2.0,9.0,1.0,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,True
36,True,Mário Sérgio Santos Costa,marinho,7.78,,68952,-0.59,1.4,3,Marinho,5,356,3.3,7,2,FOR,Marinho,,3.0,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,True
37,True,Lucas Pacheco Affini,lucas-sasha,6.96,,68991,0.04,5.7,3,Lucas Sasha,4,356,6.97,7,3,FOR,L. Sasha,14.0,7.0,,,4.0,,,,,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,True
38,True,Willian José da Silva,willian-jose,9.0,,68996,-0.96,0.8,3,Willian José,5,265,1.5,6,2,BAH,W. José,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,True
39,False,Manoel Messias Silva Carvalho,manoel,5.0,,69014,0.0,0.0,3,Manoel,3,266,0.0,6,0,FLU,Manoel,,,,,,,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,True
40,False,Danilo Fernandes Batista,danilo-fernandes,4.0,,69051,0.0,0.0,3,Danilo Fernandes,1,265,0.0,6,0,BAH,D. Fernandes,,,,,,,,,,,,,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,True
44,False,Lucas Rodrigues Moura da Silva,lucas-moura,5.0,,70164,0.0,0.0,3,Lucas Moura,4,276,0.0,6,0,SAO,L. Moura,,,,,,,,,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,True
45,True,Luiz Gustavo de Almeida Pinto,gustavo,3.58,,70216,-0.42,0.3,3,Gustavo,1,286,0.3,7,1,JUV,Gustavo,,,,,,,,,,1.0,1.0,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,True
47,True,Eduardo Colcenti Antunes,eduardo-sasha,8.89,,70360,1.95,10.7,3,Eduardo Sasha,5,280,4.27,7,3,RBB,E. Sasha,,1.0,3.0,,3.0,,,,,,,,,,,1.0,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,True
49,True,Felipe Anderson Pereira Gomes,felipe-anderson,7.35,,70592,0.29,5.0,3,Felipe Anderson,4,275,2.57,7,3,PAL,F. Anderson,3.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,True
51,True,Fábio Luiz Carille de Araújo,fabio-carille,8.82,,70696,1.1,7.8,3,Fábio Carille,6,267,5.93,6,3,VAS,F. Carille,,,,,,,,,,,,,,2.0,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,True
