Unnamed: 0,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
1,6,5,5.1,0.35,37457,5.49,7.34,6,L. Condé,Leonardo Rodrigues Condé,leo-conde,True,Léo Condé,,CEA,354,7,,,,,,,,,,,,1.0,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,True
10,5,3,0.0,0.0,42222,0.4,3.53,6,Osvaldo,Osvaldo Lourenço Filho,osvaldo,False,Osvaldo,,VIT,287,6,,,,1.0,,,,,,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,True
11,1,6,11.5,1.19,42234,6.48,10.68,6,Cássio,Cássio Roberto Ramos,cassio,True,Cássio,,CRU,283,7,,,,,,,,,2.0,23.0,6.0,,1.0,2.0,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,True
13,2,3,7.0,0.53,42500,5.9,8.04,6,Fagner,Fagner Conserva Lemos,fagner,True,Fagner,,CRU,283,7,,6.0,4.0,,,2.0,,1.0,1.0,,,,,2.0,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,True
14,3,0,0.0,0.0,50317,0.0,5.0,6,D. Braz,David Braz de Oliveira Filho,david-braz,False,David Braz,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,True
16,1,0,0.0,0.0,51413,0.0,6.0,6,Walter,Walter Leandro Capeloza Artune,walter,False,Walter,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,True
18,4,4,0.0,0.0,52271,3.63,7.76,6,Fernando,Fernando Francisco Reges,fernando,False,Fernando,,INT,285,7,,7.0,2.0,3.0,,2.0,,,,,,,,,,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,True
20,5,0,0.0,0.0,53865,0.0,4.0,6,L. Gamalho,Leonardo Gamalho de Souza,leo-gamalho,False,Léo Gamalho,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,True
24,2,4,0.0,0.0,61987,4.92,11.31,6,A. Sandro,Alex Sandro Lobo Silva,alex-sandro,False,Alex Sandro,,FLA,262,2,,7.0,12.0,,1.0,4.0,,,,,,,,2.0,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,True
26,4,2,0.0,0.0,63007,1.55,19.72,6,Neymar,Neymar da Silva Santos Júnior,neymar,False,Neymar,,SAN,277,5,,,2.0,1.0,,7.0,,,1.0,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,True
27,2,0,0.0,0.0,63013,0.0,7.0,6,M. Rocha,Marcos Luis Rocha Aquino,marcos-rocha,False,Marcos Rocha,,PAL,275,6,,,,,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,True
30,4,5,17.7,1.71,68685,8.32,16.52,6,A. Patrick,Alan Patrick Lourenço,alan-patrick,True,Alan Patrick,,INT,285,7,3.0,5.0,3.0,2.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,True
31,4,5,0.0,-0.74,68708,0.28,3.55,6,Eduardo,Carlos Eduardo de Oliveira Alves,eduardo,True,Eduardo,,CRU,283,6,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,True
33,1,0,0.0,0.0,68872,0.0,7.0,6,M. Lomba,Marcelo Lomba do Nascimento,marcelo-lomba,False,Marcelo Lomba,,PAL,275,6,,,,,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,True
35,5,5,0.0,0.0,68920,3.26,9.15,6,Dudu,Eduardo Pereira Rodrigues,dudu,False,Dudu,,CRU,283,6,,4.0,4.0,,,7.0,1.0,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,True
36,3,6,2.0,-0.42,68923,2.25,5.06,6,Gil,Carlos Gilberto do Nascimento Silva,gil,True,Gil,,SAN,277,7,,7.0,7.0,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,True
43,5,3,0.0,0.0,69138,1.2,5.98,6,Pablo,Pablo Felipe Teixeira,pablo,False,Pablo,,SPT,292,5,,1.0,3.0,,1.0,7.0,,3.0,1.0,,,,,,,,,,,,20.0,6.67,Ilha do Retiro,2025-04-26 20:00:00,0,0,333976,18,356,20,292,1745708400,26,True,True
44,4,1,0.0,-0.51,69140,0.0,4.49,6,Allan,Allan Marques Loureiro,allan,True,Allan,,BOT,263,6,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,True
45,3,1,0.0,0.0,69783,17.1,17.63,6,Danilo,Danilo Luiz da Silva,danilo,False,Danilo,,FLA,262,6,,3.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,True
48,3,0,0.0,0.0,70221,0.0,4.0,6,B. Uvini,Bruno Uvini Bortolança,bruno-uvini,False,Bruno Uvini,,VIT,287,6,,,,,,,,,,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,True
50,1,1,0.0,0.0,70449,1.1,3.66,6,Gabriel,Gabriel Vasconcelos Ferreira,gabriel,False,Gabriel,,VIT,287,6,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,True
51,4,6,-0.1,-1.03,70592,2.48,5.97,6,F. Anderson,Felipe Anderson Pereira Gomes,felipe-anderson,True,Felipe Anderson,,PAL,275,6,,8.0,6.0,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,True
52,3,5,2.5,0.03,70666,3.82,6.68,6,Marllon,Marllon Gonçalves Jerônimo Borges,marllon,True,Marllon,,CEA,354,7,,4.0,3.0,,,2.0,1.0,,,,,,,1.0,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,True
53,5,6,2.2,-0.1,70788,3.13,7.02,6,E. Valencia,Enner Remberto Valencia Lastra,enner-valencia,True,Enner Valencia,,INT,285,7,,1.0,10.0,3.0,3.0,7.0,1.0,2.0,,,,,,,1.0,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,True
55,4,5,1.2,-0.55,70944,2.96,6.69,6,B. Henrique,Bruno Henrique Corsini,bruno-henrique,True,Bruno Henrique,,INT,285,7,,6.0,9.0,,,1.0,1.0,,,,,,,,,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,True
59,1,2,2.9,0.3,71571,3.15,4.29,6,F. Miguel,Fernando Miguel Kaufmann,fernando-miguel,True,Fernando Miguel,,CEA,354,7,,,,,,1.0,,,,6.0,2.0,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,True
60,1,6,2.9,-0.92,71631,6.88,9.08,6,Weverton,Weverton Pereira da Silva,weverton,True,Weverton,,PAL,275,7,,,,,,5.0,,,1.0,16.0,3.0,,1.0,3.0,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,True
61,2,1,0.0,0.0,71680,-1.9,1.89,6,R. Cáceres,Raúl Alejandro Cáceres Bogado,raul-caceres,False,Raúl Cáceres,,VIT,287,7,,,3.0,,,,,,1.0,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,True
62,3,4,-0.4,-1.53,71684,2.92,8.92,6,G. Gómez,Gustavo Raúl Gómez Portillo,gustavo-gomez,True,Gustavo Gómez,,PAL,275,7,,2.0,4.0,1.0,,2.0,,3.0,2.0,,,,,2.0,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,True
